,addr,scp,car_sum
894,[55 30],4.031697961725985,3.0
895,[71 89],3.8235098739664766,3.0
896,[62  3],9.01917688501572,6.0
897,[42 63],11.715124558658959,8.0
898,[60 56],3.779149285595806,2.0
899,[70 58],4.586851353293016,3.0
900,[70 28],4.1310962391504935,3.0
901,[74 40],5.076747579176839,4.0
902,[22  8],5.5943143055129525,3.0
904,[78 25],4.577268984062556,3.0
905,[74 17],4.810162329686272,3.0
906,[98 71],23.362551044304073,15.0
908,[63 59],5.629583067543692,4.0
909,[70 79],6.692029303790409,4.0
910,[ 7 46],11.964050472098432,8.0
911,[94 14],4.287316617308974,3.0
914,[44 59],3.0539897542396313,2.0
915,[ 5 92],5.707256225847294,4.0
916,[86 75],6.462367479031087,4.0
917,[60 35],4.325361073156705,3.0
918,[ 6 29],7.5409600948443,5.0
919,[ 7 87],8.773888511619973,6.0
921,[18 56],4.311941564875524,2.0
922,[10 32],4.055704878725818,2.0
924,[93  7],5.803447804069254,3.0
925,[41 57],4.577335435163783,3.0
929,[11 86],5.2462938936032755,4.0
931,[68  8],6.441016067543638,5.0
933,[28 93],3.529487580057295,2.0
934,[15 53],4.089390065078361,2.0
935,[11 84],5.76559632580236,4.0
936,[39 68],10.668351681978974,6.0
937,[14 78],8.38251054867391,5.0
938,[38 39],10.158339746072848,7.0
939,[61 93],6.94003733985612,4.0
941,[64 18],6.09373509773613,4.0
942,[36 49],10.704993083285611,8.0
943,[ 0 92],4.030333082533122,3.0
944,[40 78],10.612306932067078,7.0
946,[13 81],3.628214325972339,2.0
947,[ 8 69],4.582158997369571,3.0
949,[16 74],7.60507385292459,4.0
950,[21 95],7.0388139471972115,6.0
952,[ 9 45],17.362650143197765,10.0
954,[ 7 37],4.942530022178433,3.0
955,[51 31],10.35911078308589,7.0
956,[35 46],4.0654960870201435,2.0
958,[99  8],5.459889728767449,3.0
960,[ 3 82],3.5240813689872224,2.0
961,[46 62],3.3113447780966574,2.0
964,[94 27],3.158312973999041,3.0
966,[96  6],3.2864107889314615,2.0
967,[77 90],4.197607907482311,3.0
968,[63 75],7.746959210599066,5.0
969,[74 20],4.17107283704104,2.0
970,[ 2 94],8.93980282593889,6.0
971,[47 45],7.237460404380686,4.0
973,[92 75],3.856244446265122,2.0
974,[77 21],4.606738139901473,3.0
975,[ 7 32],7.72795967256525,5.0
976,[54 83],3.1323646257121087,2.0
978,[42 29],3.3823633867097667,2.0
979,[41 84],3.3198713314419006,2.0
980,[52 78],4.941457402213724,4.0
981,[61 37],9.95237573988444,6.0
983,[ 1 86],8.157846869674147,5.0
984,[94 39],8.47841717873705,6.0
986,[23 82],4.655304765275879,3.0
987,[16 53],9.446275015304105,5.0
988,[73 10],8.343260980892186,6.0
989,[68 16],3.4097247038163196,2.0
991,[97  0],7.558051246113867,5.0
993,[77 12],3.8003284541523836,3.0
994,[ 3 32],6.2844168323138385,4.0
995,[ 1 93],3.7951719512966373,2.0
997,[68 40],5.9832193059840035,3.0
998,[76 14],7.215606256277453,5.0
999,[69 45],7.909530447983472,5.0
1002,[ 7 34],3.3807957407059375,2.0
1007,[0 7],8.831349468363484,5.0
1008,[12 73],6.551214991633132,4.0
1009,[17 46],5.236104819175422,3.0
1012,[78 26],3.202289116349909,2.0
1015,[77 18],4.110614973712412,3.0
1016,[61 24],9.067717353644781,6.0
1018,[61 76],4.0828597712197485,2.0
1019,[ 6 57],4.688883836364658,3.0
1020,[94 42],10.74988176638946,8.0
1022,[24  3],5.566869540834228,4.0
1024,[99 61],9.813896358971778,5.0
1027,[94 33],6.956555034904023,4.0
1028,[41 32],22.30599274959061,14.0
1030,[ 2 52],5.680476140309908,4.0
1031,[41 30],8.24051012646208,6.0
1035,[82 28],3.4451912354748755,2.0
1036,[75 95],6.885468915265908,5.0
1037,[67 35],7.144373801567362,4.0
1038,[41 62],5.4694938160494555,4.0
1039,[ 8 52],4.5618526624120594,4.0
1040,[50 75],7.0788050157328355,4.0
1042,[ 1 75],5.013758879357983,4.0
1043,[14 85],6.32788581227319,4.0
1044,[75 96],10.874301245342377,8.0
1046,[62 24],13.296605299247899,8.0
1047,[31 52],6.252867132931239,4.0
1048,[95 90],7.534523065430214,4.0
1051,[17 80],3.6058900781504923,2.0
1052,[21 97],4.0845830866635175,3.0
1053,[75 12],5.4326432352307235,3.0
1054,[ 8 72],3.4705140024020125,2.0
1055,[10 34],4.929391327782611,4.0
1056,[46 58],3.89964423447911,3.0
1057,[21 66],5.701197827452255,3.0
1059,[69  6],4.593627886611954,2.0
1060,[ 1 96],7.982512031258295,5.0
1061,[64 69],4.7044897708974505,4.0
1062,[60 47],6.346054375352677,4.0
1063,[41 77],11.575408581666288,5.0
1064,[ 0 32],6.2027496071934465,4.0
1065,[37 66],6.744862528036434,4.0
1066,[ 0 33],6.194137976867847,4.0
1067,[31 51],7.842710549384715,4.0
1069,[83 10],4.267407473898308,3.0
1070,[ 3 59],5.561348261472812,3.0
1071,[99 96],5.588076727641263,4.0
1072,[62 19],19.054281341720227,12.0
1073,[80 91],5.386350692372754,4.0
1074,[49 72],18.581814084364986,12.0
1075,[10 73],8.667370386621355,6.0
1078,[11 48],6.7861888364995036,4.0
1079,[21 72],3.713663443036544,2.0
1080,[ 3 83],3.2542944004641994,2.0
1081,[28 86],3.7974407510116506,2.0
1082,[ 6 83],4.342443629234342,4.0
1083,[ 9 87],4.0764381629160304,2.0
1084,[39 72],5.240186477057808,3.0
1085,[95 77],3.950398365598451,3.0
1088,[62 51],7.730892946086252,4.0
1089,[39 58],8.267125732015812,6.0
1090,[ 0 94],3.053894812228403,2.0
1091,[93 40],10.405329267198951,6.0
1092,[60  2],3.16158727420952,2.0
1093,[94  2],3.1851453948115216,2.0
1094,[80 16],3.03203761330671,3.0
1095,[4 1],6.778378391334136,5.0
1096,[36 52],9.651625806952284,6.0
1098,[10 87],6.689965469511954,4.0
1101,[ 9 66],7.923027333808188,5.0
1103,[70  2],6.872178549027032,5.0
1104,[56 49],9.369664212319972,6.0
1106,[87 86],4.864581487734058,3.0
1107,[78 10],3.8135568140068568,3.0
1108,[99 73],3.3411567755032365,2.0
1110,[61 73],5.335188222800626,3.0
1111,[ 2 56],5.416196550694552,4.0
1112,[70 66],4.956483670462726,3.0
1113,[ 7 92],13.264368330471873,10.0
1114,[34 53],15.028506113192442,10.0
1116,[87 72],8.770105825512744,6.0
1118,[ 9 72],9.16309253104447,6.0
1119,[60 85],6.135948077893323,4.0
1122,[57 36],5.87848715933786,4.0
1123,[61 25],7.898277525498456,4.0
1124,[18 47],12.86744274726731,7.0
1125,[34 48],6.5111621447101475,4.0
1127,[23 11],5.930753104722581,4.0
1128,[23 45],4.654781547758694,3.0
1130,[80  2],3.330060431279624,2.0
1131,[95 95],4.501177714679105,3.0
1132,[36 53],7.240287548391891,6.0
1133,[69 19],6.920381494303061,5.0
1134,[68 25],4.35388685263957,3.0
1135,[58 31],4.727453785277748,4.0
1136,[70 16],10.470451603310957,6.0
1137,[15 76],8.338062080911598,6.0
1138,[22 27],8.21626914408708,6.0
1141,[19 48],7.3323105146412475,5.0
1142,[78 17],5.927945766681975,3.0
1144,[13 78],9.35619668322634,6.0
1145,[78 13],5.062892772833353,3.0
1146,[82 30],4.899385778370588,3.0
1147,[16 76],8.044698435337178,4.0
1148,[24 50],6.996374459393786,3.0
1149,[60 59],12.545347107954495,9.0
1150,[81 91],4.869167754815333,3.0
1151,[42 41],4.1719167806442865,3.0
1152,[37 68],9.495529574349401,6.0
1154,[61 15],7.693386610299264,6.0
1156,[68 43],6.621328147498536,4.0
1159,[ 8 45],3.016590984335643,2.0
1160,[89 82],4.13225912308929,2.0
1161,[63 36],3.4719115025827105,2.0
1162,[56 96],4.709306968327128,3.0
1163,[41 72],3.1447827873581615,4.0
1164,[ 6 48],9.183443952021818,6.0
1165,[70 40],7.3888592270853595,5.0
1166,[80  7],7.814581681825699,4.0
1167,[92 32],5.6749926587303765,4.0
1168,[54 45],23.742473321594716,14.0
1169,[53 60],19.602752975825123,14.0
1170,[34 55],5.907285072224223,4.0
1171,[74  0],3.3618512512135883,2.0
1173,[24 55],4.224166415237717,3.0
1174,[63 20],4.77305054369677,4.0
1176,[ 3 95],4.312035315064332,3.0
1177,[46 32],6.7672199498303005,6.0
1178,[73  9],6.804209012870749,5.0
1179,[48 83],4.895390486453925,4.0
1180,[45 75],3.526535495166233,3.0
1181,[28 52],5.7110098050353795,4.0
1182,[50 31],9.393620572619817,7.0
1184,[27 82],5.088639581967417,3.0
1186,[10 99],6.248662075463448,4.0
1188,[73 26],4.919412894905843,3.0
1190,[90 36],8.412264952965598,6.0
1191,[65 29],3.0861752384936976,2.0
1193,[11 56],9.22940307779338,5.0
1194,[72 12],4.586114101911578,3.0
1195,[21 58],3.711470301777167,2.0
1196,[ 5 55],10.596110062921674,8.0
1197,[53 88],6.2261358734156005,4.0
1198,[29 82],6.549906450100993,4.0
1200,[94 93],4.937801144754669,3.0
1201,[32 55],13.95877201824412,8.0
1202,[54 93],8.539118075272844,6.0
1203,[57 55],13.709261955789902,10.0
1205,[70 15],3.629892941274603,3.0
1206,[ 0 49],4.058030731853373,3.0
1211,[79 18],3.738835405548069,2.0
